Hecho Punible,Dpto,Denunciado,Aclarado,Semestre,Mes
ROBO AGRAVADO DE MOTOCICLETAS,Cordillera,2,1,2,Julio
ABIGEATO,Amambay,1,1,2,Julio
COACCION SEXUAL,Amambay,1,1,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Amambay,4,4,2,Julio
HOMICIDIO DOLOSO,Amambay,3,1,2,Julio
HURTO,Amambay,2,0,2,Julio
HURTO AGRAVADO,Amambay,3,2,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Amambay,7,5,2,Julio
LESION,Amambay,7,2,2,Julio
ROBO DE OBJETOS,Amambay,2,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Amambay,3,0,2,Julio
ROBO DE VEHICULOS,Amambay,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Amambay,1,0,2,Julio
ROBO DE MOTOCICLETAS,Amambay,0,0,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Amambay,1,0,2,Julio
ABIGEATO,Concepcion,1,1,2,Julio
COACCION SEXUAL,Concepcion,0,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Concepcion,3,3,2,Julio
HOMICIDIO DOLOSO,Concepcion,1,0,2,Julio
HURTO,Concepcion,0,0,2,Julio
HURTO AGRAVADO,Concepcion,3,1,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Concepcion,11,11,2,Julio
LESION,Concepcion,4,1,2,Julio
ROBO DE OBJETOS,Concepcion,1,1,2,Julio
ROBO AGRAVADO DE OBJETOS,Concepcion,2,0,2,Julio
ROBO DE VEHICULOS,Concepcion,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Concepcion,0,0,2,Julio
ROBO DE MOTOCICLETAS,Concepcion,4,0,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Concepcion,0,0,2,Julio
ABIGEATO,Alto Paraguay,0,0,2,Julio
COACCION SEXUAL,Alto Paraguay,0,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Paraguay,1,1,2,Julio
HOMICIDIO DOLOSO,Alto Paraguay,0,0,2,Julio
HURTO,Alto Paraguay,0,0,2,Julio
HURTO AGRAVADO,Alto Paraguay,0,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Alto Paraguay,2,2,2,Julio
LESION,Alto Paraguay,0,0,2,Julio
ROBO DE OBJETOS,Alto Paraguay,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Alto Paraguay,0,0,2,Julio
ROBO DE VEHICULOS,Alto Paraguay,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Alto Paraguay,0,0,2,Julio
ROBO DE MOTOCICLETAS,Alto Paraguay,1,1,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Alto Paraguay,0,0,2,Julio
ABIGEATO,San Pedro,5,1,2,Julio
COACCION SEXUAL,San Pedro,1,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,San Pedro,4,4,2,Julio
HOMICIDIO DOLOSO,San Pedro,1,1,2,Julio
HURTO,San Pedro,3,3,2,Julio
HURTO AGRAVADO,San Pedro,5,1,2,Julio
LESION CULPOSA EN ACC. DE TTO.,San Pedro,10,8,2,Julio
LESION,San Pedro,2,0,2,Julio
ROBO DE OBJETOS,San Pedro,1,1,2,Julio
ROBO AGRAVADO DE OBJETOS,San Pedro,10,0,2,Julio
ROBO DE VEHICULOS,San Pedro,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,San Pedro,1,0,2,Julio
ROBO DE MOTOCICLETAS,San Pedro,3,1,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,San Pedro,2,0,2,Julio
ABIGEATO,Caaguazu,5,1,2,Julio
COACCION SEXUAL,Caaguazu,4,2,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Caaguazu,5,5,2,Julio
HOMICIDIO DOLOSO,Caaguazu,3,2,2,Julio
HURTO,Caaguazu,8,4,2,Julio
HURTO AGRAVADO,Caaguazu,6,1,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Caaguazu,32,32,2,Julio
LESION,Caaguazu,9,5,2,Julio
ROBO DE OBJETOS,Caaguazu,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Caaguazu,5,0,2,Julio
ROBO DE VEHICULOS,Caaguazu,1,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Caaguazu,0,0,2,Julio
ROBO DE MOTOCICLETAS,Caaguazu,7,1,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Caaguazu,0,0,2,Julio
ABIGEATO,Caazapa,4,0,2,Julio
COACCION SEXUAL,Caazapa,1,1,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Caazapa,2,2,2,Julio
HOMICIDIO DOLOSO,Caazapa,0,0,2,Julio
HURTO,Caazapa,1,0,2,Julio
HURTO AGRAVADO,Caazapa,2,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Caazapa,2,2,2,Julio
LESION,Caazapa,2,0,2,Julio
ROBO DE OBJETOS,Caazapa,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Caazapa,2,0,2,Julio
ROBO DE VEHICULOS,Caazapa,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Caazapa,0,0,2,Julio
ROBO DE MOTOCICLETAS,Caazapa,1,1,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Caazapa,0,0,2,Julio
ABIGEATO,Guaira,2,0,2,Julio
COACCION SEXUAL,Guaira,0,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Guaira,9,9,2,Julio
HOMICIDIO DOLOSO,Guaira,0,0,2,Julio
HURTO,Guaira,3,1,2,Julio
HURTO AGRAVADO,Guaira,0,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Guaira,14,14,2,Julio
LESION,Guaira,1,1,2,Julio
ROBO DE OBJETOS,Guaira,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Guaira,1,0,2,Julio
ROBO DE VEHICULOS,Guaira,2,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Guaira,1,0,2,Julio
ROBO DE MOTOCICLETAS,Guaira,3,1,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Guaira,0,0,2,Julio
ABIGEATO,Alto Parana,1,1,2,Julio
COACCION SEXUAL,Alto Parana,7,5,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Parana,5,4,2,Julio
HOMICIDIO DOLOSO,Alto Parana,1,0,2,Julio
HURTO,Alto Parana,8,1,2,Julio
HURTO AGRAVADO,Alto Parana,8,3,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Alto Parana,19,17,2,Julio
LESION,Alto Parana,10,1,2,Julio
ROBO DE OBJETOS,Alto Parana,4,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Alto Parana,26,5,2,Julio
ROBO DE VEHICULOS,Alto Parana,3,1,2,Julio
ROBO AGRAVADO DE VEHICULOS,Alto Parana,1,0,2,Julio
ROBO DE MOTOCICLETAS,Alto Parana,10,1,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Alto Parana,4,1,2,Julio
ABIGEATO,Itapua,7,2,2,Julio
COACCION SEXUAL,Itapua,2,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Itapua,3,3,2,Julio
HOMICIDIO DOLOSO,Itapua,2,0,2,Julio
HURTO,Itapua,13,1,2,Julio
HURTO AGRAVADO,Itapua,11,1,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Itapua,16,16,2,Julio
LESION,Itapua,6,2,2,Julio
ROBO DE OBJETOS,Itapua,4,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Itapua,8,0,2,Julio
ROBO DE VEHICULOS,Itapua,1,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Itapua,0,0,2,Julio
ROBO DE MOTOCICLETAS,Itapua,8,0,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Itapua,1,0,2,Julio
ABIGEATO,Canindeyu,0,0,2,Julio
COACCION SEXUAL,Canindeyu,1,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Canindeyu,3,2,2,Julio
HOMICIDIO DOLOSO,Canindeyu,1,0,2,Julio
HURTO,Canindeyu,1,0,2,Julio
HURTO AGRAVADO,Canindeyu,2,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Canindeyu,1,1,2,Julio
LESION,Canindeyu,2,1,2,Julio
ROBO DE OBJETOS,Canindeyu,1,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Canindeyu,0,0,2,Julio
ROBO DE VEHICULOS,Canindeyu,1,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Canindeyu,0,0,2,Julio
ROBO DE MOTOCICLETAS,Canindeyu,4,0,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Canindeyu,0,0,2,Julio
ABIGEATO,Misiones,3,0,2,Julio
COACCION SEXUAL,Misiones,2,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Misiones,4,4,2,Julio
HOMICIDIO DOLOSO,Misiones,0,0,2,Julio
HURTO,Misiones,2,0,2,Julio
HURTO AGRAVADO,Misiones,0,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Misiones,10,10,2,Julio
LESION,Misiones,0,0,2,Julio
ROBO DE OBJETOS,Misiones,1,1,2,Julio
ROBO AGRAVADO DE OBJETOS,Misiones,0,0,2,Julio
ROBO DE VEHICULOS,Misiones,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Misiones,0,0,2,Julio
ROBO DE MOTOCICLETAS,Misiones,2,2,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Misiones,0,0,2,Julio
ABIGEATO,Paraguari,8,4,2,Julio
COACCION SEXUAL,Paraguari,1,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Paraguari,1,1,2,Julio
HOMICIDIO DOLOSO,Paraguari,1,1,2,Julio
HURTO,Paraguari,1,0,2,Julio
HURTO AGRAVADO,Paraguari,6,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Paraguari,10,10,2,Julio
LESION,Paraguari,2,1,2,Julio
ROBO DE OBJETOS,Paraguari,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Paraguari,2,0,2,Julio
ROBO DE VEHICULOS,Paraguari,1,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Paraguari,0,0,2,Julio
ROBO DE MOTOCICLETAS,Paraguari,6,0,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Paraguari,1,0,2,Julio
ABIGEATO,Ñeembucu,3,0,2,Julio
COACCION SEXUAL,Ñeembucu,0,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Ñeembucu,1,1,2,Julio
HOMICIDIO DOLOSO,Ñeembucu,0,0,2,Julio
HURTO,Ñeembucu,2,0,2,Julio
HURTO AGRAVADO,Ñeembucu,2,1,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Ñeembucu,4,4,2,Julio
LESION,Ñeembucu,2,0,2,Julio
ROBO DE OBJETOS,Ñeembucu,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Ñeembucu,0,0,2,Julio
ROBO DE VEHICULOS,Ñeembucu,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Ñeembucu,0,0,2,Julio
ROBO DE MOTOCICLETAS,Ñeembucu,4,2,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Ñeembucu,0,0,2,Julio
ABIGEATO,Boqueron,0,0,2,Julio
COACCION SEXUAL,Boqueron,0,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Boqueron,0,0,2,Julio
HOMICIDIO DOLOSO,Boqueron,1,0,2,Julio
HURTO,Boqueron,0,0,2,Julio
HURTO AGRAVADO,Boqueron,1,1,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Boqueron,1,1,2,Julio
LESION,Boqueron,2,0,2,Julio
ROBO DE OBJETOS,Boqueron,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Boqueron,2,0,2,Julio
ROBO DE VEHICULOS,Boqueron,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Boqueron,0,0,2,Julio
ROBO DE MOTOCICLETAS,Boqueron,0,0,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Boqueron,0,0,2,Julio
ABIGEATO,Presidente Hayes,1,1,2,Julio
COACCION SEXUAL,Presidente Hayes,0,0,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Presidente Hayes,1,1,2,Julio
HOMICIDIO DOLOSO,Presidente Hayes,1,1,2,Julio
HURTO,Presidente Hayes,3,1,2,Julio
HURTO AGRAVADO,Presidente Hayes,0,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Presidente Hayes,3,3,2,Julio
LESION,Presidente Hayes,2,1,2,Julio
ROBO DE OBJETOS,Presidente Hayes,0,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Presidente Hayes,1,0,2,Julio
ROBO DE VEHICULOS,Presidente Hayes,0,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Presidente Hayes,0,0,2,Julio
ROBO DE MOTOCICLETAS,Presidente Hayes,3,1,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Presidente Hayes,0,0,2,Julio
ABIGEATO,Asuncion,0,0,2,Agosto
COACCION SEXUAL,Asuncion,3,2,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Asuncion,3,3,2,Agosto
HOMICIDIO DOLOSO,Asuncion,1,1,2,Agosto
HURTO,Asuncion,16,7,2,Agosto
HURTO AGRAVADO,Asuncion,16,6,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Asuncion,12,12,2,Agosto
LESION,Asuncion,9,6,2,Agosto
ROBO DE OBJETOS,Asuncion,12,7,2,Agosto
ROBO AGRAVADO DE OBJETOS,Asuncion,14,8,2,Agosto
ROBO DE VEHICULOS,Asuncion,26,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Asuncion,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Asuncion,56,3,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Asuncion,0,0,2,Agosto
ABIGEATO,Central,1,0,2,Agosto
COACCION SEXUAL,Central,21,16,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Central,13,12,2,Agosto
HOMICIDIO DOLOSO,Central,10,5,2,Agosto
HURTO,Central,48,26,2,Agosto
HURTO AGRAVADO,Central,38,17,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Central,55,52,2,Agosto
LESION,Central,33,15,2,Agosto
ROBO DE OBJETOS,Central,15,6,2,Agosto
ROBO AGRAVADO DE OBJETOS,Central,45,8,2,Agosto
ROBO DE VEHICULOS,Central,20,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Central,1,0,2,Agosto
ROBO DE MOTOCICLETAS,Central,89,3,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Central,9,2,2,Agosto
ABIGEATO,Cordillera,8,0,2,Agosto
COACCION SEXUAL,Cordillera,3,2,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Cordillera,7,7,2,Agosto
HOMICIDIO DOLOSO,Cordillera,1,1,2,Agosto
HURTO,Cordillera,10,2,2,Agosto
HURTO AGRAVADO,Cordillera,5,2,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Cordillera,11,11,2,Agosto
LESION,Cordillera,2,1,2,Agosto
ROBO DE OBJETOS,Cordillera,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Cordillera,5,0,2,Agosto
ROBO DE VEHICULOS,Cordillera,0,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Cordillera,1,0,2,Agosto
ROBO DE MOTOCICLETAS,Cordillera,9,1,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Cordillera,0,0,2,Agosto
ABIGEATO,Amambay,2,1,2,Agosto
COACCION SEXUAL,Amambay,6,3,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Amambay,1,0,2,Agosto
HOMICIDIO DOLOSO,Amambay,9,1,2,Agosto
HURTO,Amambay,5,2,2,Agosto
HURTO AGRAVADO,Amambay,5,2,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Amambay,12,10,2,Agosto
LESION,Amambay,18,3,2,Agosto
ROBO DE OBJETOS,Amambay,4,1,2,Agosto
ROBO AGRAVADO DE OBJETOS,Amambay,4,2,2,Agosto
ROBO DE VEHICULOS,Amambay,0,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Amambay,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Amambay,1,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Amambay,3,0,2,Agosto
ABIGEATO,Concepcion,0,0,2,Agosto
COACCION SEXUAL,Concepcion,0,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Concepcion,9,8,2,Agosto
HOMICIDIO DOLOSO,Concepcion,1,0,2,Agosto
HURTO,Concepcion,1,0,2,Agosto
HURTO AGRAVADO,Concepcion,2,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Concepcion,14,13,2,Agosto
LESION,Concepcion,6,1,2,Agosto
ROBO DE OBJETOS,Concepcion,3,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Concepcion,4,0,2,Agosto
ROBO DE VEHICULOS,Concepcion,0,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Concepcion,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Concepcion,4,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Concepcion,2,1,2,Agosto
ABIGEATO,Alto Paraguay,1,1,2,Agosto
COACCION SEXUAL,Alto Paraguay,0,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Paraguay,0,0,2,Agosto
HOMICIDIO DOLOSO,Alto Paraguay,0,0,2,Agosto
HURTO,Alto Paraguay,0,0,2,Agosto
HURTO AGRAVADO,Alto Paraguay,0,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Alto Paraguay,1,1,2,Agosto
LESION,Alto Paraguay,0,0,2,Agosto
ROBO DE OBJETOS,Alto Paraguay,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Alto Paraguay,0,0,2,Agosto
ROBO DE VEHICULOS,Alto Paraguay,0,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Alto Paraguay,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Alto Paraguay,0,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Alto Paraguay,0,0,2,Agosto
ABIGEATO,San Pedro,6,0,2,Agosto
COACCION SEXUAL,San Pedro,1,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,San Pedro,4,4,2,Agosto
HOMICIDIO DOLOSO,San Pedro,2,0,2,Agosto
HURTO,San Pedro,3,2,2,Agosto
HURTO AGRAVADO,San Pedro,3,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,San Pedro,11,10,2,Agosto
LESION,San Pedro,4,3,2,Agosto
ROBO DE OBJETOS,San Pedro,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,San Pedro,8,1,2,Agosto
ROBO DE VEHICULOS,San Pedro,1,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,San Pedro,0,0,2,Agosto
ROBO DE MOTOCICLETAS,San Pedro,1,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,San Pedro,3,1,2,Agosto
ABIGEATO,Caaguazu,3,0,2,Agosto
COACCION SEXUAL,Caaguazu,4,3,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Caaguazu,6,6,2,Agosto
HOMICIDIO DOLOSO,Caaguazu,2,1,2,Agosto
HURTO,Caaguazu,3,2,2,Agosto
HURTO AGRAVADO,Caaguazu,4,2,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Caaguazu,21,20,2,Agosto
LESION,Caaguazu,12,3,2,Agosto
ROBO DE OBJETOS,Caaguazu,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Caaguazu,11,1,2,Agosto
ROBO DE VEHICULOS,Caaguazu,5,1,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Caaguazu,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Caaguazu,8,3,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Caaguazu,4,2,2,Agosto
ABIGEATO,Caazapa,0,0,2,Agosto
COACCION SEXUAL,Caazapa,0,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Caazapa,0,0,2,Agosto
HOMICIDIO DOLOSO,Caazapa,1,1,2,Agosto
HURTO,Caazapa,1,1,2,Agosto
HURTO AGRAVADO,Caazapa,1,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Caazapa,1,1,2,Agosto
LESION,Caazapa,4,2,2,Agosto
ROBO DE OBJETOS,Caazapa,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Caazapa,3,0,2,Agosto
ROBO DE VEHICULOS,Caazapa,0,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Caazapa,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Caazapa,2,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Caazapa,0,0,2,Agosto
ABIGEATO,Guaira,4,1,2,Agosto
COACCION SEXUAL,Guaira,0,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Guaira,1,1,2,Agosto
HOMICIDIO DOLOSO,Guaira,1,0,2,Agosto
HURTO,Guaira,5,4,2,Agosto
HURTO AGRAVADO,Guaira,1,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Guaira,9,9,2,Agosto
LESION,Guaira,4,2,2,Agosto
ROBO DE OBJETOS,Guaira,2,1,2,Agosto
ROBO AGRAVADO DE OBJETOS,Guaira,5,1,2,Agosto
ROBO DE VEHICULOS,Guaira,1,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Guaira,3,0,2,Agosto
ROBO DE MOTOCICLETAS,Guaira,2,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Guaira,1,1,2,Agosto
ABIGEATO,Alto Parana,1,0,2,Agosto
COACCION SEXUAL,Alto Parana,3,3,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Parana,5,3,2,Agosto
HOMICIDIO DOLOSO,Alto Parana,5,3,2,Agosto
HURTO,Alto Parana,13,3,2,Agosto
HURTO AGRAVADO,Alto Parana,9,1,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Alto Parana,17,16,2,Agosto
LESION,Alto Parana,20,8,2,Agosto
ROBO DE OBJETOS,Alto Parana,3,2,2,Agosto
ROBO AGRAVADO DE OBJETOS,Alto Parana,22,3,2,Agosto
ROBO DE VEHICULOS,Alto Parana,3,1,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Alto Parana,5,1,2,Agosto
ROBO DE MOTOCICLETAS,Alto Parana,10,4,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Alto Parana,3,0,2,Agosto
ABIGEATO,Itapua,4,0,2,Agosto
COACCION SEXUAL,Itapua,2,2,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Itapua,2,2,2,Agosto
HOMICIDIO DOLOSO,Itapua,1,0,2,Agosto
HURTO,Itapua,16,8,2,Agosto
HURTO AGRAVADO,Itapua,6,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Itapua,13,12,2,Agosto
LESION,Itapua,8,2,2,Agosto
ROBO DE OBJETOS,Itapua,2,1,2,Agosto
ROBO AGRAVADO DE OBJETOS,Itapua,5,0,2,Agosto
ROBO DE VEHICULOS,Itapua,5,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Itapua,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Itapua,17,1,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Itapua,1,1,2,Agosto
ABIGEATO,Canindeyu,0,0,2,Agosto
COACCION SEXUAL,Canindeyu,1,1,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Canindeyu,6,6,2,Agosto
HOMICIDIO DOLOSO,Canindeyu,2,0,2,Agosto
HURTO,Canindeyu,0,0,2,Agosto
HURTO AGRAVADO,Canindeyu,1,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Canindeyu,3,2,2,Agosto
LESION,Canindeyu,1,0,2,Agosto
ROBO DE OBJETOS,Canindeyu,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Canindeyu,7,1,2,Agosto
ROBO DE VEHICULOS,Canindeyu,2,1,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Canindeyu,1,1,2,Agosto
ROBO DE MOTOCICLETAS,Canindeyu,5,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Canindeyu,0,0,2,Agosto
ABIGEATO,Misiones,2,0,2,Agosto
COACCION SEXUAL,Misiones,0,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Misiones,0,0,2,Agosto
HOMICIDIO DOLOSO,Misiones,0,0,2,Agosto
HURTO,Misiones,1,1,2,Agosto
HURTO AGRAVADO,Misiones,0,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Misiones,6,3,2,Agosto
LESION,Misiones,2,1,2,Agosto
ROBO DE OBJETOS,Misiones,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Misiones,0,0,2,Agosto
ROBO DE VEHICULOS,Misiones,0,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Misiones,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Misiones,2,1,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Misiones,0,0,2,Agosto
ABIGEATO,Paraguari,6,1,2,Agosto
COACCION SEXUAL,Paraguari,0,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Paraguari,5,1,2,Agosto
HOMICIDIO DOLOSO,Paraguari,10,0,2,Agosto
HURTO,Paraguari,6,6,2,Agosto
HURTO AGRAVADO,Paraguari,0,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Paraguari,15,14,2,Agosto
LESION,Paraguari,2,0,2,Agosto
ROBO DE OBJETOS,Paraguari,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Paraguari,2,0,2,Agosto
ROBO DE VEHICULOS,Paraguari,0,0,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Paraguari,1,0,2,Agosto
ROBO DE MOTOCICLETAS,Paraguari,1,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Paraguari,0,0,2,Agosto
ABIGEATO,Ñeembucu,6,2,2,Agosto
COACCION SEXUAL,Ñeembucu,0,0,2,Agosto
HOMICIDIO CULPOSO EN ACC DE TTO.,Ñeembucu,6,2,2,Agosto
HOMICIDIO DOLOSO,Ñeembucu,1,0,2,Agosto
HURTO,Ñeembucu,3,3,2,Agosto
HURTO AGRAVADO,Ñeembucu,2,0,2,Agosto
LESION CULPOSA EN ACC. DE TTO.,Ñeembucu,9,9,2,Agosto
LESION,Ñeembucu,3,2,2,Agosto
ROBO DE OBJETOS,Ñeembucu,0,0,2,Agosto
ROBO AGRAVADO DE OBJETOS,Ñeembucu,2,0,2,Agosto
ROBO DE VEHICULOS,Ñeembucu,1,1,2,Agosto
ROBO AGRAVADO DE VEHICULOS,Ñeembucu,0,0,2,Agosto
ROBO DE MOTOCICLETAS,Ñeembucu,1,0,2,Agosto
ROBO AGRAVADO DE MOTOCICLETAS,Ñeembucu,0,0,2,Agosto
ABIGEATO,Boqueron,0,0,2,Agosto
COACCION SEXUAL,Boqueron,0,0,2,Agosto
